position_name,job_keywords
设计-用户研究-用户研究员,"用户研究,设计思维,需求分析,用户调研,人机交互"
运营-运营-商家运营,"商家运营,数据分析,市场策略,用户体验,品牌管理"
产品-产品经理-游戏策划,"游戏策划,系统设计,玩法优化,团队协调,数值平衡"
产品-产品经理-产品助理,"产品设计,市场调研,用户需求,项目协调,竞品分析"
技术-销售技术支持-售前技术支持,"售前沟通,技术咨询,产品演示,客户支持,销售辅助"
生产制造-技工/普工-样衣工,"样衣制作,工艺质量控制,版型设计,缝制技能,四季女装"
技术-人工智能-数据挖掘,"数据挖掘,大数据分析,机器学习,模型优化,风控策略"
教育培训-特长培训-古筝教师,"教育培训,古筝演奏,教学方法,音乐理解,学生互动"
技术-人工智能-算法研究员,"深度学习,算法研究,人工智能,大数据分析,模型优化"
销售-课程销售-留学顾问,"留学咨询,课程销售,市场分析,客户服务,学术规划"
服务业-餐饮-配菜打荷,"配菜准备,厨房协作,食材处理,效率高,卫生标准"
服务业-宠物服务-宠物美容,"宠物美容,客户服务,店内清洁,宠物护理,销售产品"
服务业-餐饮-日料厨师,"烹饪技巧,日式料理,食材处理,菜品创新,顾客服务"
技术-高端技术职位-技术经理,"技术研发管理,团队领导与协调,产品研发设计,系统开发与维护,项目管理与规划"
房地产/建筑-建筑/规划设计-建筑设计师,"建筑设计,方案优化,施工图绘制,项目管理,客户沟通"
运营-运营-活动运营,"运营策划,活动执行,数据分析,用户互动,项目管理"
教育培训-教师-文科教师,"文科教学,个性化教学,课程研发,教学评估,教研活动"
技术-硬件开发-FPGA开发,"FPGA开发,算法仿真,图像处理,硬件调试,通信接口设计"
技术-硬件开发-光学工程师,"光学设计,视觉检测,半导体激光器,光学系统调试,成像与照明系统仿真"
生产制造-机械设计/制造-焊接工程师,"焊接技术,激光加工,工艺研发,新产品焊接,焊接流程优化。"
技术-通信-通信技术工程师,"通信技术,网络设备,信号处理,系统维护,产品开发"
技术-销售技术支持-售后技术支持,"售后技术支持,客户沟通管理,产品维修更换,设备安装调试,技术指导培训"
技术-后端开发-GIS工程师,"GIS开发,三维地图制作,Web前端,数据处理分析,软件架构设计"
销售-外贸销售-外贸经理,"外贸销售,客户维护,市场分析,团队管理,销售策略"
传媒-影视媒体-艺人助理,"艺人日常事务管理,视频剪辑制作,直播协助运营,客户与艺人沟通协调,活动及节目录制支持"
供应链/物流-物流-配送站长,配送站运营指标
服务业-餐饮-餐饮学徒,"餐饮材料准备,基础烹饪任务,后厨操作,服务员接待,技能学习与实践"
服务业-婚礼/花艺-婚礼策划,"婚礼策划,客户沟通,现场协调,方案设计,活动统筹"
服务业-餐饮-西餐厨师,"西餐烹饪,菜品制作,食材处理,质量控制,厨房管理"
咨询/翻译/法律-翻译-日语翻译,咨询/翻译/法律-翻译-日语翻译
咨询/翻译/法律-翻译-英语翻译,"英语翻译,客户沟通,项目协调,文化交流,文案创作"
技术-前端/移动开发-U3D,"前端开发,Unity3D,移动平台,UI设计,性能优化"
金融-投融资-投资助理,"投资分析,市场研究,尽职调查,数据整理,客户关系管理"
教育培训-特长培训-乐高教师,"乐高教学,编程教学,机器人教育,课程研发,学龄儿童教育。"
服务业-零售-督导/巡店,"督导/巡店,销售管理,培训与招聘,客户服务,业绩提升"
服务业-安保/家政/维修-手机维修,"手机维修,硬件检测,软件故障诊断,客户服务,3C产品维修"
医疗健康-护士/护理-护士长,"医疗管理,团队领导,护理质量控制,病患协调,护理培训"
供应链/物流-物流-调度员,调度安排、异常处理、客户沟通、成本管理等多个方面。
技术-人工智能-图像算法,"图像处理,算法设计,机器学习,人工智能应用,计算视觉"
医疗健康-医生/医技-其他医生职位,"医疗服务,临床诊断,病例管理,患者交流,医技操作"
技术-后端开发-C#,"后端开发,C#,编程语言,服务端编程,API接口"
教育培训-教育行政-教务管理,"教务管理,课程协调,教育政策,信息系统运用,师资管理"
设计-游戏设计-游戏角色,"创意设计,角色构建,游戏机制,视觉表现,故事叙述"
金融-银行-银行大堂经理,"客户服务,金融产品推广,业务协调,接待管理,风险控制"
生产制造-机械设计/制造-材料工程师,"材料工程,机械设计,制造工艺,材料选型,性能测试"
服务业-汽车服务-4S店店长/维修站长,"服务流程优化,客户关系管理,团队领导,销售与营销策略,维修技术管理"
人力/财务/行政-人力资源-人力资源总监,人力资源规划
技术-人工智能-机器学习,"人工智能,机器学习,算法开发,数据分析,模型训练"
市场-公关媒介-媒介经理,"媒介关系,公关活动,品牌推广,媒介策略,市场分析"
销售-销售-网络销售,"网络营销,在线销售,客户关系,电商平台,虚拟互动"
医疗健康-药店-药店店长,店员培训、药品质量控制、顾客服务以及营销计划实施。
医疗健康-临床试验-临床医学经理/专员,"临床试验,医学研究,数据分析,项目管理,病人沟通"
采购/贸易-进出口贸易-报关/报检员,"供应链管理,报关流程,单证审核,通关协调,关务合规性"
生产制造-机械设计/制造-工业工程师(IE),"生产效率,工业工程,精益生产,布局规划,流程优化"
生产制造-汽车制造-汽车项目管理,"汽车项目管理,项目质量控制,项目进度跟踪,新产品开发,资源整合"
采购/贸易-采购-采购专员/助理,"采购流程管理,供应商筛选与谈判,价格及合同谈判,库存管理,销售订单处理"
金融-投融资-投资者关系/证券事务代表,"证券信息披露,投资者关系维护,资本运作,募资策略,合规信息管理"
设计-非视觉设计-工业设计,"工业设计,产品建模,CAD软件运用,视觉传达,市场调研"
医疗健康-医生/医技-妇产科医生,"妇科疾病诊断,医疗服务提供,门诊管理,患者沟通,医学检查操作"
设计-视觉/交互设计-插画师,"插画创作,视觉设计,交互体验,创意思维,艺术表现"
农/林/牧/渔-畜牧/渔业-禽畜/水产养殖技术员,"品种改良,养殖技术,水质监控,疫病防治,市场调研"
技术-后端开发-语音/视频/图形开发,"后端开发,语音处理,视频处理,图形设计,编程语言"
医疗健康-医生/医技-全科医生,"全科医疗,疾病诊断,患者治疗,病例管理,紧急情况处理"
教育培训-特长培训-足球教练,"足球训练,团队管理,技能传授,竞赛指导,体能训练"
技术-硬件开发-自动化,"自动化,电气设计,PLC编程,机器人应用,电气维护"
房地产/建筑-建筑/规划设计-给排水工程师,"给排水设计,建筑规划,工程审核,管线施工,水质管理"
生产制造-技工/普工-车工,"车床操作,数控车床编程,设备维护,精密加工,品质控制"
技术-人工智能-自动驾驶系统工程师,"算法开发,系统集成,传感器技术,自动驾驶,机器学习"
销售-销售-电话销售,"电话销售,客户邀约,销售管理,金融贷款销售,客户关系维护"
设计-非视觉设计-展览/展示设计,"设计创意,展览展示,3D建模与渲染,空间布局设计,项目管理与协作"
运营-运营-亚马逊运营,"运营管理,产品上架优化,市场分析,销售推广,客户服务"
人力/财务/行政-人力资源-培训,"培训规划,课程开发,企业文化建设,人力资源管理,需求调研"
运营-运营-数据/策略运营,"运营数据分析,策略制定与执行,跨部门协调,业务优化,数据支持决策"
销售-房地产销售/招商-物业招商管理,"招商管理,客户关系维护,市场调研,商务谈判,物业管理"
运营-运营-跨境电商运营,"跨境电商,运营策略,市场分析,跨文化交流,电商平台管理"
人力/财务/行政-人力资源-人力资源专员/助理,"招聘管理,员工关系,薪酬福利,招聘流程,法规遵循"
服务业-美容保健-美容店长,"美容服务提供,团队管理,业绩目标达成,客户关系维护,日常经营管理"
供应链/物流-仓储-仓库经理,"仓储管理,库存控制,物流配送,团队协调,系统操作"
市场-市场/营销-市场顾问,"市场分析,客户关系维护,销售策略,活动组织,市场拓展"
设计-视觉/交互设计-交互设计师,"游戏交互设计,用户体验优化,交互设计框架,流程设计,游戏产品交互"
金融-投融资-融资,"融资咨询,贷款产品匹配,客户关系管理,融资策略制定,资方资源管理"
设计-非视觉设计-珠宝设计,"珠宝设计,手工技艺,产品开发,流行趋势,市场调研"
生产制造-技工/普工-锅炉工,"锅炉操作,设备维护,水处理,安全监管,日常巡检"
人力/财务/行政-行政-经理助理,"行政管理,客户服务,项目协调,文档管理,业务跟进"
生产制造-机械设计/制造-模具工程师,"模具设计,机械制造,产品开发,制图软件,精密加工"
生产制造-质量安全-质量管理/测试,"质量控制,产品检验,供应商管理,质量体系,制程监控"
服务业-餐饮-厨师长,"生产管理,菜品研发,团队领导,食品安全,厨房运营"
传媒-影视媒体-编剧,编写与创意策划。
技术-硬件开发-驱动开发,"硬件开发,驱动编程,系统集成,性能优化,创新设计"
房地产/建筑-建筑/规划设计-消防工程师,"消防安全管理,设施维护保养,火警响应处理,风险评估与管理,建筑法规遵循"
生产制造-机械设计/制造-机械设备工程师,"机械设计,设备维护,制造工艺,工程创新,故障分析"
教育培训-特长培训-篮球教练,"篮球教学,客户关系维护,课程开发,体能训练,教学指导"
市场-公关媒介-品牌公关,"市场调研,品牌策划,公关传播,新媒体运营,客户关系维护"
市场-市场/营销-商业数据分析,"商业数据分析,市场调研,策略制定,指标监控,数据产品开发"
产品-产品经理-产品经理,"产品规划,需求分析,市场调研,项目管理,迭代优化"
教育培训-教师-助教,"教学辅助,学生管理,课程开发,家长沟通,多科辅导"
人力/财务/行政-法务-法务经理/主管,"法务管理,合同审核,风险控制,合规检查,团队领导"
咨询/翻译/法律-律师-专利律师,"专利法律知识,案件分析处理,法律咨询服务,版权保护策略,合同审查"
服务业-汽车服务-加油员,"加油服务,客户服务,站内卫生,油品加注,设备操作"
技术-前端/移动开发-前端开发工程师,"前端开发,Vue框架,JavaScript,移动端兼容,性能优化"
房地产/建筑-建筑/规划设计-幕墙工程师,"幕墙设计,建筑施工,结构分析,美观性能,安全标准"
医疗健康-生物制药-医疗产品技术支持,"医疗产品技术支持,临床研究咨询,技术问题解答,客户关系管理,技术培训和支持"
设计-游戏设计-系统策划,"系统策划,玩法设计,功能优化,交互设计,跨部门沟通"
服务业-美容保健-美容师,"美容技能,顾客服务,美容产品知识,护理手法,形象设计"
高级管理-高级管理职位-董事会秘书,"董事会秘书,文秘工作,高级管理,公关接待,战略规划
"
房地产/建筑-装饰装修-装修项目经理,"项目管理,装修设计,施工监督,成本控制,沟通协调"
供应链/物流-交通/运输-网约车司机,"网约车驾驶,客户服务,接单运营,订单完成,车辆管理"
服务业-安保/家政/维修-保洁,"清洁卫生,客户服务,日常维护,安全意识,整洁保持"
人力/财务/行政-法务-律师,"法律专业知识,案件处理能力,合同审核,法律顾问,争议解决"
技术-测试-测试开发,自动化测试平台，优化测试流程，提升测试覆盖率，确保产品质量。
服务业-安保/家政/维修-产后康复师,"产后康复指导,身体恢复训练,心理支持,母乳喂养咨询,客户服务"
服务业-餐饮-洗碗工,"清洗餐具,保持卫生,耐劳能力,餐饮服务,快速工作"
运营-客服-电话客服,"客户服务,电话沟通,问题解决,服务流程,效率优化"
销售-服务业销售-化妆品导购,"化妆品销售,顾客服务,产品陈列,店铺管理,销售技巧"
人力/财务/行政-财务-税务,"税务规划,财务分析,税务申报,法规遵从,成本控制"
医疗健康-医生/医技-放射科医生,"放射科医生,影像诊断,设备操作,医学影像,质量控制"
销售-销售管理-销售VP,"战略规划,销售目标,团队领导,业绩评估,业务拓展"
生产制造-技工/普工-组装工,"组装技能,生产效率,质量检验,手动组装,组装设备"
房地产/建筑-建筑/规划设计-土木/土建/结构工程师,"土木工程设计,结构设计管理,施工图纸编制,现场技术管理,技术协调与沟通"
人力/财务/行政-法务-法律顾问,"法律咨询,客户关系维护,合同审查,案件管理,风险控制"
高级管理-高级管理职位-分公司/代表处负责人,"团队领导,战略规划,业务拓展,财务管理,高级决策"
房地产/建筑-工程管理-工程造价,"工程造价,成本控制,工程预算,施工管理,建筑工程"
服务业-美容保健-针灸推拿,"推拿技术,理疗服务,养生保健,顾客沟通,健康管理"
销售-汽车销售-汽车销售,"销售技巧,客户关系管理,市场分析,产品知识,销售策略"
房地产/建筑-物业管理-物业工程主管,"物业工程管理,设施设备维护,工程项目统筹,客户服务协调,节能降耗策略"
房地产/建筑-建筑/规划设计-BIM工程师,"BIM技术,建筑信息模型,设计优化,项目协同,施工模拟"
教育培训-职业培训-拓展培训,"培训设计,课程开发,团队协作,学习激励,行动导向"
市场-市场/营销-信息流优化师,"信息流广告优化,数据分析,营销策略执行,广告素材创意,成本控制"
技术-其他技术职位-其他技术职位,"编程能力,技术研发,项目管理,团队协作,客户沟通"
生产制造-生产营运-厂长,"生产管理,团队领导,生产计划,质量监督,产能优化"
医疗健康-医生/医技-超声科医生,"超声影像,诊断操作,医疗质量控制,客户服务,医学培训"
技术-硬件开发-硬件工程师,"硬件设计,电路调试,技术文档,项目管理,元器件选型"
教育培训-教师-就业老师,"职业规划指导,就业技能培训,学生咨询服务,讲座组织协调,课程开发设计"
服务业-安保/家政/维修-保安经理,"保安管理,秩序维护,团队领导,安全制度,人员培训"
房地产/建筑-物业管理-物业管理员,"物业服务,设施维护,安全管理,客户关系,行政协调"
生产制造-质量安全-质检员,"生产制造,质量检验,安全管理,供应商管理,生产巡检"
人力/财务/行政-人力资源-企业文化,"企业文化建设,文化活动策划,员工关系管理,新闻采编发行,企业形象宣传"
房地产/建筑-工程管理-材料员,"材料管理,供应商协调,采购计划,质量控制,工程项目管理"
咨询/翻译/法律-咨询/调研-人力资源咨询顾问,"人力资源管理,咨询服务,市场调研,法律知识,咨询方案设计"
供应链/物流-交通/运输-代驾司机,"代驾服务,驾驶技能,客户服务,车辆管理,夜间工作"
医疗健康-临床试验-临床协调员,"临床试验,患者管理,数据收集,协调沟通,临床监查"
运营-运营-品类运营,品类销售策略制定。
销售-医疗销售-口腔咨询师,"口腔咨询,客户关系维护,治疗方案沟通,销售推广,顾客预约管理"
医疗健康-医生/医技-外科医生,"外科手术,病历管理,诊断治疗,医患沟通,医疗质量控制"
设计-游戏设计-游戏数值策划,"游戏数值策划,数值模型搭建,SLG游戏设计,经济系统设计,游戏平衡优化"
生产制造-技工/普工-叉车工,"叉车操作,货物搬运,仓库管理,安全标准,维护保养"
市场-会务会展-会展活动执行,"会展活动执行,婚礼场地布置,物料管理,客户服务,舞台搭建"
服务业-餐饮-面包/烘焙师,"烘焙技术,面包制作,食品安全,服务意识,艺术创意"
销售-销售-BD经理,"销售策略,客户关系管理,市场拓展,业务洽谈,销售业绩达成"
技术-测试-测试工程师,"自动化测试,性能测试,功能测试,测试工具开发,测试计划制定"
服务业-安保/家政/维修-保姆,"家政服务,烹饪技能,婴幼儿照料,老年护理,家务管理"
传媒-影视媒体-儿童引导师,"儿童教育,影视制作,表演艺术,内容创意,沟通技巧"
市场-会务会展-会展活动策划,"市场分析,活动策划,客户沟通,资源整合,团队协作"
生产制造-新能源-电池工程师,"新能源,电池工程师,电池工艺优化,动力电池PACK,BMS系统开发"
医疗健康-生物制药-药物合成,"药物合成研究,工艺优化,文献调研,合成路线设计,项目管理"
技术-运维/技术支持-IT技术支持,"IT技术支持,故障排除,系统维护,网络管理,客户沟通"
设计-视觉/交互设计-UI设计师,设计、交互设计、视觉风格设定、设计规范制订、用户体验优化
传媒-影视媒体-影视特效,"特效制作,后期剪辑,三维动画设计,项目管理,视觉设计"
服务业-餐饮-餐饮店长,"客户服务,团队管理,营业额提升,质量监控,餐厅运营"
设计-视觉/交互设计-视觉设计师,"视觉设计,平面设计,电商设计,品牌形象设计,创意策略"
设计-非视觉设计-家具设计,"家具设计,创新思维,空间规划,材料理解,工艺知识"
医疗健康-临床试验-临床监查员,"临床试验监查,质量控制,管理协调,法规遵循,文档审核"
设计-视觉/交互设计-CAD设计/制图,"CAD设计/制图,效果图表现,图纸深化,方案设计,材料工艺对接"
服务业-餐饮-送餐员,"送餐服务,快速配送,客户互动,路线规划,服务态度"
设计-游戏设计-游戏动作,"游戏动作设计,3D动画制作,动作资源管理,动作捕捉技术,Spine动画软件"
传媒-影视媒体-剪辑师,"剪辑技术,视觉创意,故事叙述,后期制作,影视特效"
传媒-影视媒体-中控/场控/助播,"直播中控,产品管理,气氛营造,数据监控,直播销售"
销售-服务业销售-服装导购,"销售技巧,顾客服务,商品管理,销售目标达成,品牌导购"
产品-产品经理-数据产品经理,"数据分析,产品规划,用户研究,技术集成,创新驱动"
金融-中后台-风控,"风险控制,数据分析,策略优化,客户沟通,资信评估"
金融-中后台-催收员,"催收管理,逾期账款处理,客户信用维护,电话催收技巧,贷后风险管理"
销售-房地产销售/招商-地产中介,"房产销售,客户服务,房源匹配,交易促成,房产信息管理"
销售-销售管理-城市经理,"城市管理,销售策略,客户关系,市场开拓,金融服务"
运营-客服-售前客服,"运营-客服-售前客服,客户接待,订单处理,客户关系维护,电商平台沟通"
技术-前端/移动开发-UE4,"前端开发,UE4引擎,移动应用,用户界面,游戏开发"
房地产/建筑-物业管理-物业经理,物业服务、安全保障、客户关系、团队领导、设备维护
市场-市场/营销-营销主管,"市场分析,营销策略,团队管理,业绩增长,市场推广"
生产制造-技工/普工-钻工,"深孔钻操作,摇臂钻床技能,五金加工,图纸解读,质量管理"
传媒-影视媒体-主持人/DJ,"活动主持,直播技巧,情感音乐内容,剧本杀游戏主持,短视频制作与推广"
服务业-汽车服务-汽车维修,"汽车维修,日常保养,故障诊断,机电维修,钣金作业"
销售-课程销售-招生顾问,"招生咨询,课程销售,客户关系维护,电话邀约,教务管理"
传媒-影视媒体-主播,"传媒,直播技术,节目制作,观众互动,表达能力"
设计-游戏设计-游戏界面设计师,"创意设计,用户体验,界面美学,交互流畅,游戏元素"
服务业-美容保健-理疗师,"美容保健,理疗技术,客户服务,治疗方案制定,疼痛缓解"
医疗健康-健康整形-营养师/健康管理师,"营养咨询,健康评估,饮食规划,体重管理,体质调理"
市场-市场/营销-SEO,"SEO优化,内容营销,关键词研究,搜索引擎分析,链接建设"
技术-硬件开发-嵌入式,"嵌入式系统,硬件设计,编程技能,产品研发,电路分析"
销售-广告/会展销售-会展活动销售,"会展策划,客户沟通,销售策略,市场推广,活动执行"
生产制造-质量安全-产品认证工程师,"产品认证,质量控制,安全标准,技术评审,文档管理"
销售-销售管理-团队经理,"团队管理,销售业绩提升,客户关系维护,团队招募与培训,市场开拓与客户服务"
传媒-影视媒体-灯光师,"灯光设计,影视拍摄,视觉效果,设备操控,现场调控"
旅游-旅游服务-计调,"旅游线路设计,客户服务,行程管理,旅游产品开发,市场协调"
生产制造-技工/普工-电工,"电力系统维护,电路安装,故障排查,安全规范遵守,电气设备检修"
传媒-采编/写作/出版-作者/撰稿人,"原创文学创作,微信公众号推文,剧本杀创作,短视频文案撰写,娱乐类文章撰写"
技术-项目管理-项目助理,"项目管理,文档编写,数据统计分析,沟通协调,客户维护"
运营-运营-数据标注/AI训练师,"数据标注,AI训练,图像视频处理,数据质量控制,AI算法优化"
服务业-婚礼/花艺-花艺师,"设计创意,花卉搭配,婚礼布置,顾客服务,花艺制作"
运营-运营-阿里国际站运营,"运营管理,平台优化,市场分析,用户增长,电商经验"
技术-测试-性能测试,"性能测试,功能测试,自动化测试,软硬件测试,测试方案制定"
供应链/物流-物流-货运代理经理,"国际物流,客户关系管理,销售策略,供应链管理,航线运营"
服务业-零售-商场运营,"商场管理,顾客服务,销售策略,商品陈列,店铺运营"
销售-销售行政/商务-销售运营,"销售运营,客户关系管理,市场推广,业务拓展,销售策略分析"
设计-非视觉设计-橱柜设计,"橱柜设计,客户沟通,定制方案,测量尺寸,设计软件"
销售-汽车销售-汽车配件销售,"汽车销售,配件知识,客户沟通,销售策略,市场分析"
技术-硬件开发-射频工程师,"射频开发,电路设计,技术调试,产品测试,天线设计"
教育培训-教育产品研发-课程设计,"教育产品研发,课程设计,教学方案制定,教研工作,教学材料编写"
服务业-零售-促销员,"接待顾客,商品销售,促销活动,新客户开发,客户服务"
房地产/建筑-建筑/规划设计-园林/景观设计,"园林景观设计,植物养护与管理,设计方案制作,现场施工配合,规划设计与绘图"
生产制造-汽车制造-内外饰设计工程师,"汽车内外饰设计,结构工程,零部件研发,造型分析,数据设计与分析"
设计-视觉/交互设计-平面设计,"视觉传达,创意设计,版式布局,颜色运用,品牌形象"
设计-游戏设计-游戏特效,"游戏设计,特效制作,视觉艺术,交互体验,创意实现"
运营-运营-内容运营,"内容运营,文案撰写,社交媒体管理,内容营销,品牌推广"
技术-测试-软件测试,"软件测试,缺陷管理,自动化测试,测试用例编写,性能测试"
人力/财务/行政-人力资源-人力资源经理/主管,"招聘管理,员工关系,薪酬福利,组织发展,劳动法规"
市场-市场/营销-游戏推广,"游戏推广,玩家运营,在线推广,客户服务,销售推广"
技术-前端/移动开发-技术美术,"前端开发,移动应用,美术设计,交互体验,技术实现"
房地产/建筑-建筑/规划设计-弱电工程师,"弱电工程,智能化系统,施工与维护,技术支持与方案设计,系统管理与质量控制"
设计-视觉/交互设计-漫画师,"漫画创作,分镜设计,手绘技巧,上色工作,团队协作"
金融-投融资-行业研究,"金融研究,行业分析,投资策略,市场研究,股票分析"
技术-运维/技术支持-网络安全,"网络安全,安全设备维护,风险漏洞管理,安全管理制度优化,网络架构设计"
市场-市场/营销-网络推广,"网络推广,数据分析,广告优化,媒体运营,客户沟通"
生产制造-机械设计/制造-机械制图员,"机械设计,制图技能,精密制造,工程计算,CAD软件"
服务业-酒店-礼仪/迎宾/接待,"礼仪接待,客户服务,门迎服务,餐饮服务,礼宾服务"
教育培训-教师-英语教师,"教育培训,英语教学,课程设计,学生评估,教材编写"
运营-客服-网络客服,"网络沟通,客户关系维护,售前售后支持,产品咨询解答,订单管理处理"
教育培训-教育行政-教学管理,"教育培训,教学管理,课程规划,团队管理,客户服务"
人力/财务/行政-人力资源-HRBP,"人力资源管理,招聘与配置,绩效评估,文化建设与维护,组织发展规划"
生产制造-质量安全-生产安全员,"质量监控,安全规范,风险评估,生产现场,隐患排查"
技术-数据-数据开发,"数据仓库架构,数据模型设计,大数据开发,ETL处理,数据质量管理"
生产制造-技工/普工-喷塑工,"喷塑技术,喷粉操作,工艺流程维护,设备操作维护,质量控制与检验"
服务业-零售-门店店长,运营管理、销售目标达成、团队建设与员工培训
设计-高端设计职位-设计经理/主管,"设计管理,视觉创意,电商设计,团队管理,客户服务"
技术-测试-游戏测试,"游戏测试,自动化测试,性能测试,缺陷管理,Bug修复"
人力/财务/行政-财务-财务经理/主管,"财务管理,预算控制,财务报告,资金运营,团队领导"
供应链/物流-交通/运输-商务司机,"驾驶技能,路线规划,客户服务,安全意识,时刻表管理"
服务业-汽车服务-汽车改装工程师,"汽车改装,技术设计,安全标准,客户沟通,创新思维"
技术-后端开发-Java,"Java,后端开发,API设计,服务端编程,数据库管理"
销售-金融销售-保险顾问,"销售策略,金融产品知识,客户关系管理,保险计划设计,业绩目标达成"
运营-运营-淘宝运营,"电商平台运营,产品上架管理,流量增长策略,销售数据分析,顾客服务经验"
金融-银行-信贷专员,"金融产品管理,信贷业务咨询,客户服务维护,贷款方案制定,风险理念宣导"
服务业-零售-陈列员,检、估价、回收、销售及顾客咨询处理；负责日常账目核对，维护产品陈列，并完成店内各项任务。
运营-运营-速卖通运营,"速卖通运营,产品管理,数据分析,营销策略,客户服务"
人力/财务/行政-财务-统计员,"统计数据分析,财务报表制作,库存管理,数据录入,ERP系统操作"
传媒-影视媒体-导演/编导,编导、脚本撰写、拍摄与后期制作的全面工作。
技术-测试-硬件测试,"硬件测试,测试用例设计,数据分析与报告,自动化测试,质量控制"
技术-测试-渗透测试,"渗透测试,安全漏洞,网络防护,代码审计,攻击模拟"
销售-广告/会展销售-广告销售,"销售策略,客户关系管理,广告销售,新媒体平台推广,市场拓展"
运营-运营-亚马逊产品开发,"运营分析,产品开发,市场调研,供应链管理,客户需求分析"
销售-销售行政/商务-商务总监,"销售策略,团队管理,商务谈判,市场分析,业绩目标"
高级管理-高级管理职位-区域负责人(辖多个分公司),"运营管理,团队领导,销售策略,客户关系,大区协调"
咨询/翻译/法律-咨询/调研-咨询经理,"咨询/调研,项目管理,数据分析,市场研究,客户关系维护"
生产制造-技工/普工-抛光工,"抛光技术,不锈钢处理,五金加工,表面打磨,设备维护"
运营-运营-国内电商运营,"电商平台运营,产品上架管理,销售策略优化,用户体验提升,市场分析预测"
市场-市场/营销-网络营销,"网络营销,客户沟通,产品推广,销售策略,在线服务"
生产制造-技工/普工-钣金工,"钣金设计,激光切割,折弯工艺,加工设备操作,质量控制"
技术-后端开发-Golang,"技术研发,微服务架构,Go语言编程,系统维护,云原生技术"
房地产/建筑-建筑/规划设计-城市规划设计,"城乡规划设计,土地资源管理,市场调研分析,项目管理执行,GIS与制图技术"
市场-市场/营销-海外市场,"市场分析,国际市场,营销策略,品牌推广,多语言沟通"
教育培训-特长培训-轮滑教练,"轮滑技能,教学方法,安全指导,教练经验,团队协作"
供应链/物流-交通/运输-快递员,"快递派送,客户服务,路线规划,时间管理,包裹处理"
生产制造-技工/普工-磨工,"磨工,钣金打磨,焊接件打磨,操作磨床,五金配件加工"
