first_second,job_keywords,merge_keywords,translate_keywords
供应链/物流-物流,"供应链管理,采购流程,成本控制,供应商管理,团队领导,配送站运营指标,调度管理,货物跟踪,承运商协调,路线优化,成本控制,国际物流,客户关系管理,销售策略,供应链管理,航线运营,物流管理,项目协调,仓储优化,运输调度,成本控制,物流运营,团队管理,数据分析,客户服务,操作监控,配送流程管理,物流协调,货物运输,客户服务,代理协议,供应链优化,水/空/陆运操作,单证处理,报关经验,货物跟踪,物流管理。,物流跟单,订单管理,客户沟通,货运安排,货物追踪,供应链管理,客户关系维护,物流流程优化,成本控制,团队管理,物流管理,货物跟踪,仓储协调,订单处理,客户服务","供应链管理,采购流程,成本控制,客户关系管理","['Supply Chain Management', 'purchasing process', 'cost control', 'customer relationship management']"
供应链/物流-高端供应链职位,"战略规划,供应链优化,团队管理,高端业务对接,风险控制","战略规划,供应链优化,团队管理,高端业务对接,风险控制","['strategic planning', 'Supply Chain Optimization', 'team management', 'high-end business matching', 'risk control']"
其他-其他职位类别,"其他职位,综合能力,项目管理,团队合作,策略规划","其他职位,综合能力,项目管理,团队合作,策略规划","['other positions', 'comprehensive ability', 'Project Management', 'teamwork', 'strategic planning']"
农/林/牧/渔-农业/林业,"农作物栽培,土壤管理,植物保护,林业管理,数据记录","农作物栽培,土壤管理,植物保护,林业管理,数据记录","['crop cultivation', 'soil management', 'plant protection', 'silviculture management', 'data recording']"
农/林/牧/渔-畜牧/渔业,"品种改良, 养殖技术, 水质监控, 疫病防治, 市场调研,农/林/牧/渔-畜牧/渔业-畜牧兽医,养殖技术服务,动物疾病诊断治疗,免疫保健管理,疫病预防与控制,养殖管理,动物饲养,生物安全,畜牧技术,日常护理","品种改良, 养殖技术, 水质监控, 疫病防治, 市场调研, 免疫保健管理, 养殖管理, 生物安全","['Breed Improvement', 'breeding techniques', 'water quality monitoring', 'disease prevention and control', 'market research', 'immune health management', 'poultry management', '生物安全']"
医疗健康-临床试验,"临床试验,医学研究,数据分析,项目管理,病人沟通,临床试验,患者管理,数据收集,协调沟通,药品监管,临床试验监查, 质量控制, 管理协调, 法规遵循, 文档审核,临床试验管理,项目质量控制,团队协调沟通,患者招募,临床监查","临床试验,医学研究,数据分析,项目管理,病人沟通,患者管理,数据收集,临床试验","['clinical trials in the present', 'medical research', 'data analysis', 'Project Management', 'patient communication', 'patient management', 'data collection', 'clinical trials in the present']"
医疗健康-健康整形,"康复治疗,言语康复,运动康复,行为分析,中医理疗,营养咨询,健康评估,饮食规划,体重管理,疗程设计","康复治疗,言语康复,运动康复,行为分析,中医理疗,营养咨询","['rehab therapy', 'language rehabilitation', 'sports rehabilitation', 'behavioral analysis', 'Traditional Chinese Physical Therapy', 'nutritional consultation']"
医疗健康-其他医疗健康职位,"医学专业知识,编辑审校能力,医学出版,学术沟通,内容创作","医学专业知识,编辑审校能力,医学出版,学术沟通,内容创作","['medical professional knowledge', 'editing and proofreading ability', 'medical publishing', 'academic communication', 'content creation']"
医疗健康-医生/医技,"内科医生,病历管理,诊断治疗,患者沟通,医疗服务,医疗服务,临床诊断,病例管理,患者交流,急救技能,妇科疾病诊断, 医疗服务提供, 门诊管理, 患者沟通, 诊断与治疗方法,全科医疗,疾病诊断,患者治疗,病例管理,紧急情况处理,放射科医生,影像诊断,设备操作,医学影像,医疗服务,超声影像, 医学诊断, 设备操作, 客户沟通, 医学教育,外科手术, 病历管理, 诊断治疗, 医患沟通, 医疗质量控制,诊断、治疗、手术、病历管理、医疗质量控制,中医诊疗, 病历管理, 推拿按摩, 中医养生, 诊断处方,口腔种植, 牙科治疗, 诊断能力, 四手操作, 客户沟通,诊断视力,配镜技术,眼科知识,顾客咨询,视光服务,诊断分析,实验室技术,医疗报告,样本测试,结果解读,医务助理相关工作，包括证件变更办理、培训安排、会议记录、医疗物资管理与维护，以及信息系统操作和患者档案整理。,药物配制,药品管理,临床药学,患者指导,药物知识,儿童健康,预防接种,健康教育,日常诊疗,心理咨询,皮肤问题诊断,激光美容治疗,注射操作技术,患者沟通管理,医疗质量控制,医疗美容,整形手术,皮肤美容,医疗咨询,激光治疗","内科医生,诊断治疗,病例管理,妇科疾病诊断,紧急情况处理,放射科医生,口腔种植,医疗服务,诊断视力,医疗质量控制","['general practitioner', 'diagnosis and treatment', 'case management', 'gynecological disease diagnosis', 'emergency handling', 'radiologist', 'oral implantation', 'medical services', 'Vision Testing Now', 'medical quality control']"
医疗健康-医疗器械,"医疗器械注册,法规合规,产品认证,临床评价,质量管理,医疗器械生产,质量控制,生产流程管理,GMP标准,器械检测,生物技术,实验研发,试剂创新,实验操作,产品测试,研发项目管理,产品设计优化,技术文件编写,临床应用支持,技术问题解决","医疗器械注册,法规合规,产品认证,临床评价,质量管理,生产流程管理,技术文件编写,实验研发","['medical device registration', 'current compliance with regulations', 'product certification', 'current clinical evaluation.', 'quality management', 'production process management', 'technical document writing', 'experimental research and development']"
医疗健康-护士/护理,"医疗管理,团队领导,护理质量控制,临床护理指导,人员培训,护理服务, 口腔护理, 产妇及新生儿护理, 手术室护理, 医学操作技能,接待患者,健康咨询,导诊服务,基本护理知识,患者管理","护理管理,团队领导,临床护理,人员培训,患者接待,手术护理,护理指导,导诊服务","['nursing management', 'team leader', 'Clinical Nursing', 'employee training', 'patient reception', 'surgical nursing', 'nursing guidance', 'guiding service']"
医疗健康-生物制药,"医疗产品技术支持,临床研究咨询,技术问题解答,客户关系管理,技术培训和支持,药物合成研究,工艺优化,文献调研,合成路线设计,项目管理,生物制品研发,细胞培养技术,分子生物学实验,生物信息分析,蛋白质纯化技术,生物信息分析,基因序列处理,生物制药研究,数据管理,统计学方法,药品生产, 质量管理, 细胞制备, 生产计划, 设备维护,医药研发,实验设计,生物技术,临床试验,知识产权保护","医疗产品技术支持,临床研究咨询,药物合成研究,生物制品研发,项目管理,生物制药研究,细胞培养技术,数据管理","['medical product technical support', 'clinical research consultation', 'drug synthesis research', 'biological products research and development', 'Project Management', 'biopharmaceutical research', 'cell culture technology', 'data management']"
医疗健康-药店,"店员培训、药品质量控制、顾客服务以及营销计划执行。,药品管理, 质量监督, 销售服务, 药学咨询, 职业培训,医疗服务,药品销售,顾客服务,药品管理,健康管理","店员培训,药品质量控制,顾客服务,营销计划执行,药品管理,质量监督,销售服务,药学咨询","['store employee training', 'quality control of pharmaceuticals', 'customer service', 'marketing plan implementation', 'drug management', 'quality supervision', 'sales service', 'pharmaceutical consultation']"
咨询/翻译/法律-咨询/调研,"猎头服务, 客户关系管理, 岗位需求分析, 人才搜寻, 背景调查,专利撰写, 知识产权管理, 客户服务, 专利检索, 商标注册,人力资源咨询,组织发展,员工关系,薪酬策略,业务洞察,咨询/调研,项目管理,数据分析,市场研究,客户关系维护,数字化转型咨询、业务流程优化、IT治理等。,心理咨询,情绪支持,心理评估,咨询技巧,心理治疗,心理咨询,婚恋问题分析,沟通技巧,客户关系,婚恋市场了解,市场分析,调研设计,数据收集,报告编写,客户沟通,战略规划,市场研究,业务分析,咨询服务,战略执行,管理咨询,企业管理,项目管理,战略规划,法律咨询,咨询项目管理,报告编制,项目申报,业务沟通,市场研究","猎头服务, 客户关系管理, 岗位需求分析, 人才搜寻, 背景调查, 知识产权管理, 客户服务, 数据分析, 咨询/调研, 项目管理","['recruitment services', 'Customer Relationship Management', 'Job Requirement Analysis', 'talent search', 'background', 'intellectual property management', 'customer service', 'Data analysis', 'consultation/research', 'project management']"
咨询/翻译/法律-律师,"专利法律知识,案件分析处理,法律咨询服务,版权保护策略,专利申请指导,案件处理,法律咨询,合同审查,客户维护,法务研究,案件管理,法律文书撰写,客户服务,律所协调,诉讼支持,咨询服务,法律知识,案件处理,合同审阅,诉讼代理","专利法律知识,案件分析处理,法律咨询服务,版权保护策略,案件处理,客户维护,法律文书撰写,诉讼代理","['intellectual property law', 'case analysis and processing', 'legal consulting services', 'copyright protection strategy', 'case handling', 'customer maintenance', 'drafting legal documents', 'litigation agent']"
咨询/翻译/法律-翻译,"咨询/翻译/法律-翻译-日语翻译,英语翻译, 客户沟通, 文案处理, 行政管理, 业务培训,翻译校对,多语种沟通,本地化运营,资料管理,商务谈判,韩语/朝鲜语,语言翻译,法律文档,专业术语,口译沟通,俄语熟练,翻译技能,法律文件,咨询服务,语言文化","日语翻译,英语翻译,客户沟通,文案处理,翻译校对,多语种沟通","['improvement', 'Breed Improvement', 'customer communication', 'text processing', 'reed improvement', 'variety enhancement']"
市场-会务会展,"会展活动执行, 婚礼场地布置, 物料管理, 客户接待, 现场搭建,活动策划,会展设计,市场推广,项目管理,客户沟通,会务执行、客户沟通、项目管理、服务质量保障、突发事件处理。","会展活动执行, 婚礼场地布置, 物料管理, 客户接待, 现场搭建, 活动策划, 会展设计, 市场推广","['event execution in exhibition industry', 'wedding venue decoration', 'material management', 'customer reception', 'construction on-site', 'event planning', 'event design', 'marketing promotion']"
市场-公关媒介,"媒介关系,公关活动,品牌推广,媒介策略,市场分析,市场调研, 品牌策划, 公关传播, 新媒体运营, 客户关系维护,广告客户执行,项目管理,客户关系维护,营销方案策划,提案撰写,媒介拓展, 达人合作, 品牌推广, 数据分析, 新媒体运营,活动策划,媒介协调,市场推广,创意设计,执行管理","媒介关系,公关活动,品牌推广,媒介策略,市场分析,市场调研,项目管理,新媒体运营","['media relations', 'public relations activities', 'brand promotion', 'media strategy', 'market analysis', 'market research', 'Project Management', 'New Media Operations']"
市场-市场/营销,"市场分析,客户关系维护,销售策略,活动组织,市场拓展,商业数据分析,市场调研,策略分析,财务预算支持,数据管理,信息流广告优化, 数据分析, 营销策略执行, 广告素材创意, 成本控制,市场分析,营销策略,团队管理,业绩增长,市场推广,SEO优化,内容营销,关键词研究,搜索引擎分析,链接建设,游戏推广,玩家运营,在线推广,客户服务,网络互动,网络推广, 数据分析, 广告优化, 媒体运营, 客户关系管理,网络营销,客户沟通,产品推广,销售策略,在线服务,市场分析,国际市场,营销策略,品牌推广,多语言沟通,市场推广, 地推拉新, 客户关系, APP推广策略, 拉新用户,市场推广,客户关系管理,销售策略,市场调研,品牌建设,市场调研、品牌推广、活动策划、文案撰写。,市场分析,活动创意,营销策略,项目管理,团队协作,SEM竞价,数据分析,营销策略制定,客户服务沟通,效果监控优化,市场分析,营销策略,品牌推广,客户关系,广告创意,销售渠道,客户关系维护,市场推广,渠道资源拓展,销售策略制定,市场分析,商业选址,市场拓展,地理位置研究,投资回报评估","市场分析,销售策略,客户关系维护,广告优化,营销策略,数据分析","['market analysis', 'sales strategy', 'customer relationship maintenance', 'ad optimization', 'marketing strategy', 'data analysis']"
市场-广告,"市场分析,广告策划,项目管理,客户沟通,创意思维","市场分析,广告策划,项目管理,客户沟通,创意思维","['market analysis', 'Advertising Planning', 'Project Management', 'customer communication', 'Creative Thinking']"
市场-政府事务,"政府关系,项目管理,政策研究,申报文书,市场调研,市场推广,政府关系,党建活动,政策理解,外联协调,社区服务,项目管理,社会工作,文档编辑,团队协作,政府关系维护,政策研究分析,项目申报与管理,公共关系协调,危机应对策略","政府关系,项目管理,政策研究,市场调研,政府关系维护,市场推广,公共关系协调,党建活动","['government relations', 'Project Management', 'policy research', 'market research', 'government relations maintenance', 'market promotion', 'public relations coordination', 'current party building activities']"
市场-高端市场职位,"市场分析,品牌推广,高端市场,团队领导,绩效管理","市场分析,品牌推广,高端市场,团队领导,绩效管理","['market analysis', 'brand promotion', 'luxury market', 'team leader', 'performance management']"
房地产/建筑-工程管理,"工程造价,成本控制,工程预算,施工管理,建筑工程,建筑材料管理,供应商协调,材料验收,订单处理,质量控制,施工管理,质量控制,技术指导,项目协调,安全生产监管,土木工程管理,现场施工监督,项目计划与执行,质量安全控制,建筑法规与标准,测量技术,工程监督,地理信息系统,质量控制,项目管理,工程监理,质量监督,施工管理,合同执行,安全检查,工程资料管理,文档处理,资料归档,办公软件操作,资质申报,室内装修设计, 工程预算编制, 招投标管理, 成本控制, 投标报价,施工安全管理,安全教育培训,事故处理与预防","工程造价,成本控制,施工管理,建筑工程,供应商协调,质量控制,项目管理,工程预算","['engineering cost estimation', 'cost control', 'construction management', 'construction engineering', 'supplier coordination', 'quality control', 'Project Management', 'construction budget']"
房地产/建筑-建筑/规划设计,"建筑设计,方案优化,施工图绘制,项目管理,客户沟通,给排水设计,建筑规划,工程审核,管线施工,水质管理,消防安全管理, 设施维护保养, 检测评估, 系统监控, 安全风险控制,幕墙设计,建筑施工,结构分析,美观性能,安全标准,土木工程设计,结构设计管理,施工图纸编制,现场技术管理,技术协调与沟通,BIM技术,建筑信息模型,设计优化,项目协作,施工模拟,园林景观设计,植物养护与研究,现场测量与施工管理,设计方案制定,市政文旅项目规划,弱电工程, 智能化系统, 施工与维护, 技术支持与方案设计, 系统管理与质量控制,城乡规划设计, 土地资源管理, 市场调研分析, 项目管理执行, GIS与制图技术,设计优化,结构分析,施工管理,法规遵守,BIM技术,暖通设计, 工程管理, 系统维护, 节能优化, 项目协调,建筑机电设计, 施工图纸审核, 机电工程管理, 技术支持与质量控制, 项目协调与管理","建筑设计,方案优化,项目管理,客户沟通,消防安全管理,BIM技术,结构分析,工程审核","['architecture design', 'scheme optimization', 'Project Management', 'customer communication', 'fire safety management', 'Building Information Modeling', 'genetic analysis', 'project review']"
房地产/建筑-房地产规划开发,"房地产规划,市场分析,项目开发,营销推广,建筑设计,房地产项目管理,土地资源评估,政府关系协调,地产项目运营,项目前期报批,房地产规划,招投标管理,合同审批,标书制作,项目协调","房地产规划,市场分析,项目开发,营销推广,土地资源评估,项目管理,招投标管理,建筑设计","['Real Estate Planning', 'market analysis', 'project development', 'marketing promotion', 'land resource assessment', 'Project Management', 'tender management', 'architecture design']"
房地产/建筑-物业管理,"物业工程管理,设施设备维护,工程项目统筹,客户服务协调,节能降耗策略,物业服务,设施维护,安全管理,客户关系,行政协调,物业服务、安全保障、客户关系、团队培训、事件处理。,综合维修,设施设备管理,维修技能,技术咨询,设备运行监控,园林维护,环境美化,植物配置,设施管理,节能减排","物业工程管理,设施设备维护,工程项目统筹,客户服务协调,节能降耗策略,安全管理,客户关系,行政协调","['property engineering management', 'facility equipment maintenance', 'project management', 'customer service coordination', 'energy conservation and consumption reduction strategies', 'safety management', 'customer relationship', 'administrative coordination']"
房地产/建筑-装饰装修,"项目管理,装修设计,施工监督,成本控制,沟通协调,软装设计, 室内配饰, 材料选型, 项目管理, 设计沟通。","项目管理,装修设计,施工监督,成本控制,沟通协调,软装设计,材料选型","['Project Management', 'interior design renovation', 'site supervision', 'cost control', 'communication and coordination', 'interior soft decoration design', 'material selection']"
技术-人工智能,"数据挖掘,大数据分析,机器学习,模型优化,风控策略,深度学习, 算法研究, 人工智能, 大数据分析, 模型优化,图像处理,算法设计,机器学习,人工智能应用,计算视觉,人工智能,机器学习,算法开发,模型优化,深度学习,自动驾驶技术,算法开发,系统集成,感知能力,安全性分析,大模型算法,深度学习,模型训练,人工智能应用,算法优化,机器学习,数据分析,算法优化,推荐系统,Python编程,算法测试。,算法研发,自然语言处理,模型优化,语言理解,文本生成,算法设计, 机器学习, 模型优化, 视觉处理, 人工智能研究,深度学习,计算机视觉,算法开发,模型优化,技术研究","数据挖掘,大数据分析,机器学习,模型优化,算法研究,深度学习,人工智能应用,感知能力","['Data mining', 'big data analysis', 'machine learning', 'model optimization', 'research on algorithms', 'deep learning', 'application of artificial intelligence', '现在感知能力: present awareness']"
技术-其他技术职位,"编程能力,技术研发,项目管理,团队协作,客户沟通","编程能力,技术研发,项目管理,团队协作,客户沟通","['programming ability', 'Research and Development', 'Project Management', 'teamwork', 'customer communication']"
技术-前端/移动开发,"前端开发,Unity3D,移动平台,UI设计,性能优化,前端开发,Vue框架,JavaScript,H5开发,页面性能优化,前端开发,UE4引擎,移动应用,用户界面,游戏开发,前端开发,移动开发,技术美术,Unity游戏引擎,UI设计,Cocos开发, 游戏功能模块, 客户端性能优化, 技术研究与应用, SDK接入与维护,Android开发, 应用维护, 架构设计, 代码优化, 性能调优,iOS开发, 应用迭代, 框架设计, 性能优化, Swift/Obj-C语言","前端开发, Unity3D, 移动平台, UI设计, 性能优化, Vue框架","['front-end development', 'Unity3D', 'mobile platform', 'user interface design', 'performance optimization', 'Vue Framework']"
技术-后端开发,"GIS开发,三维地图制作,Web前端框架,数据分析处理,遥感影像应用,后端开发,C#,编程语言,服务端编程,API接口,后端开发,语音技术,视频处理,图形算法,性能优化,Java,后端开发,API设计,数据库管理,并发处理,技术研发,微服务架构,Go语言编程,系统优化,云原生技术,技术-后端开发-.NET, C#编程, WinForm开发, 数据库管理, 模块设计编码,后端开发,编程语言,系统设计,算法优化,项目管理,后端开发, Python编程, 数据处理, 数据库操作, 爬虫技术,后端开发, C/C++编程, 图像处理算法, 系统架构设计, 云数据库研究,后端开发, PHP语言, API接口开发, 网站及应用开发, 数据库及缓存技术应用,全栈开发, 前后端技术, 项目管理, 技术问题解决, 性能优化","GIS开发,三维地图制作,Web前端框架,数据分析处理,后端开发,C#,编程语言,数据库管理,API接口","['GIS development', '3D Map Creation', 'web front-end framework', 'data analysis and processing', 'Back-end development', 'C#', 'programming language', 'Database Management', 'now API interface']"
技术-数据,"数据仓库架构,数据模型设计,大数据开发,ETL处理,数据质量管理,数据架构设计,数据管理策略,系统集成,数据流程优化,大数据技术,大数据处理、数据模型设计、ETL开发与优化，以及数据质量和治理。,ETL开发,数据清洗,数据集成,数据库管理,数据迁移","数据仓库架构,数据模型设计,大数据开发,ETL处理,数据质量管理,系统集成,数据流程优化,数据集成","['Data warehouse architecture', 'data model design', 'Big data development', 'ETL Processing', 'data quality management', 'system integration', 'data flow optimization', 'Data Integration']"
技术-测试,"功能测试,软件测试,硬件测试,质量控制,产品测试,自动化测试框架，优化测试流程，提升测试覆盖率与效率。,自动化测试,性能测试,功能测试,测试工具开发,测试计划制定,性能测试, 功能测试, 自动化测试, 软硬件测试, 测试方案制定,软件测试,缺陷管理,自动化测试,测试用例编写,性能测试,游戏测试,自动化测试,性能测试,缺陷管理,Bug修复,硬件测试, 测试用例设计, 数据分析与报告, 自动化测试, 质量控制,渗透测试,安全漏洞,网络防护,代码审计,攻击模拟,自动化测试,测试脚本编写,性能测试,自动化测试框架,缺陷管理","功能测试,软件测试,硬件测试,质量控制,优化测试流程,提升测试覆盖率与效率,自动化测试,性能测试","['functional testing', 'software testing', 'hardware testing', 'quality control', 'optimize testing process', 'enhance test coverage and efficiency', 'Automated Testing', 'performance testing']"
技术-电子/半导体,"电子技术,电路设计,半导体知识,电气分析,工程项目管理,集成电路设计, 数字IC设计, 模拟IC设计, 版图设计, 高端智能芯片开发,电气设计, 系统工程设计, 自动化控制, PLC编程, 项目管理协调,电子维修技术,SMT设备编程,不良品维修记录,蓝牙电子产品维修,售后技术支持,电子设计,电路分析,半导体技术,产品测试,硬件开发,电子技术支持,客户需求分析,产品推广与培训,技术文档编写,MCU单片机技术支持,芯片设计,电路测试,验证流程,半导体技术,品质保证","电子技术,电路设计,半导体知识,工程项目管理,集成电路设计,PLC编程,售后技术支持,产品测试","['electronic technology', 'circuit design', 'semiconductor knowledge', 'project management', 'Integrated Circuit Design', 'PLC programming', 'after-sales technical support', 'product testing']"
技术-硬件开发,"FPGA开发, 逻辑设计, 信号处理, 硬件调试, 系统架构设计。,光学设计, 视觉检测, 半导体激光器, 光学系统调试, 成像设计与分析,自动化,电气设计,PLC编程,机器人应用,电气维修,硬件开发,驱动编程,系统集成,性能优化,创新设计,硬件设计,电路调试,技术文档编写,项目管理,产品开发,嵌入式系统,硬件设计,编程技能,产品研发,电路分析,射频开发, 电路设计, 技术调试, 产品测试, 天线设计,硬件设计,系统集成,项目管理,技术方案,供应链管理,DSP软件开发, 控制系统设计, 嵌入式编程, 系统仿真, 算法优化,PCB设计,硬件开发,元器件选型,Layout工作,电路原理图,单片机开发,硬件设计,嵌入式系统,编程技能,电路分析,电路设计,硬件开发,技术创新,电子工程,项目管理","FPGA开发, 逻辑设计, 信号处理, 硬件调试, 系统架构设计, 成像设计与分析, 自动化, 电气设计","['FPGA development', 'Logic Design', 'Signal Processing', 'hardware debugging', 'system architecture design', 'imaging design and analysis', 'automation', 'electrical design']"
